"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62"
"future_column","SE:T1. Total Population","Total Population","SE:T2. Population Density (per Sq. Mile)","Total Population","Population Density (Per Sq. Mile)","Area (Land)","SE:T57. Median Household Income (In 2016 Inflation Adjusted Dollars)","Median Household Income (In 2016 Inflation Adjusted Dollars)","SE:T61. Median Family Income (In 2016 Inflation Adjusted Dollars)","Median Family Income (In 2016 Inflation Adjusted Dollars)","SE:T157. Gini Index of Income Inequality","Gini Index","SE:T93. Housing Units","Housing Units","SE:T238. Total Population in Renter Occupied Housing Units by Units in Structure","Total Population in Renter Occupied Housing Units:","1, Detached or Attached","2 To 4","5 or More","Mobile Home","Boat, Rv, Van, Etc.","SE:T101. Median House Value for All Owner-Occupied Housing Units","Median Value","SE:T104. Median Gross Rent","Median Gross Rent","SE:T105. Median Gross Rent as a Percentage of Household Income in The Past 12 Months (Dollars)","Median Gross Rent as a Percentage of Household  Income in The Past 12 Months (Dollars)","SE:T112. Median Selected Monthly Owner Costs as a Percentage of Household Income in the Past 12 Months (Dollars) and Mortgage Status","Median Selected Monthly Owner Costs as a Percentage of Household Income:","Housing Units with a Mortgage","Housing Units Without a Mortgage","SE:T225. Monthly Housing Costs as a Percentage of Household Income in the Past 12 Months (Renter-Occupied Housing Units)","Renter-Occupied Housing Units:","Less Than $20,000:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$20,000 To $34,999:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$35,000 To $49,999:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$50,000 To $74,999:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$75,000 or More:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","Zero or Negative Income","No Cash Rent","SE:T147. Average Commute to Work (in Min)","Average Commute to Work (in Min)","SE:T142. Owner-Occupied Housing Units","Owner-Occupied Housing Units","Note:","For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'","© Social Explorer 2005-2018"
"X57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.40%","23.00%","53.60%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","30.40%","0.00%","0.00%","30.40%","38.00%","0.00%","0.00%","38.00%","31.50%","12.00%","0.00%","19.60%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA
"Campbell city, California",NA,"40,788",NA,"40,788","7,034.70","5.8",NA,"$103,704",NA,"$122,381",NA,"0.43",NA,"16,811",NA,"19,783","6,050","5,976","7,757","0","0",NA,"$804,500",NA,"$1,821",NA,"27.90%",NA,"21.60%","25.00%","10.00%",NA,"7,854","741","0","26","715","621","0","0","621","744","11","71","662","1,358","63","381","914","4,150","1,748","1,953","449","120","120",NA,"25",NA,"7,876",NA,NA,NA
"X59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30.60%","30.20%","39.20%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.40%","0.00%","0.30%","9.10%","7.90%","0.00%","0.00%","7.90%","9.50%","0.10%","0.90%","8.40%","17.30%","0.80%","4.90%","11.60%","52.80%","22.30%","24.90%","5.70%","1.50%","1.50%",NA,NA,NA,NA,NA,NA,NA
"Capitola city, California",NA,"10,109",NA,"10,109","6,345.40","1.59",NA,"$73,935",NA,"$82,626",NA,"0.46",NA,"5,111",NA,"5,717","1,929","2,188","1,493","94","13",NA,"$560,500",NA,"$1,703",NA,"31.40%",NA,"23.60%","26.70%","16.20%",NA,"2,489","282","0","13","269","232","0","0","232","417","19","14","384","369","0","196","173","1,133","331","590","212","16","40",NA,"26",NA,"1,983",NA,NA,NA
"X61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.70%","38.30%","26.10%","1.60%","0.20%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.30%","0.00%","0.50%","10.80%","9.30%","0.00%","0.00%","9.30%","16.80%","0.80%","0.60%","15.40%","14.80%","0.00%","7.90%","7.00%","45.50%","13.30%","23.70%","8.50%","0.60%","1.60%",NA,NA,NA,NA,NA,NA,NA
"Castro Valley CDP, California",NA,"62,825",NA,"62,825","3,776.80","16.63",NA,"$87,204",NA,"$101,100",NA,"0.42",NA,"23,493",NA,"20,101","9,410","2,501","7,757","433","0",NA,"$591,600",NA,"$1,454",NA,"32.30%",NA,"20.50%","23.80%","10.00%",NA,"7,299","1,066","9","7","1,050","951","84","0","867","1,265","22","76","1,167","1,483","56","853","574","2,251","1,193","845","213","0","283",NA,"33",NA,"15,279",NA,NA,NA
"X63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46.80%","12.40%","38.60%","2.20%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.60%","0.10%","0.10%","14.40%","13.00%","1.20%","0.00%","11.90%","17.30%","0.30%","1.00%","16.00%","20.30%","0.80%","11.70%","7.90%","30.80%","16.30%","11.60%","2.90%","0.00%","3.90%",NA,NA,NA,NA,NA,NA,NA
"Cherryland CDP, California",NA,"15,066",NA,"15,066","12,584.30","1.2",NA,"$54,719",NA,"$57,276",NA,"0.42",NA,"4,789",NA,"9,737","5,887","1,226","2,624","0","0",NA,"$334,500",NA,"$1,311",NA,"35.40%",NA,"27.00%","31.80%","10.00%",NA,"3,044","589","0","0","589","527","11","20","496","564","0","53","511","518","28","354","136","820","568","246","6","0","26",NA,"30",NA,"1,563",NA,NA,NA
"X65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60.50%","12.60%","27.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.40%","0.00%","0.00%","19.40%","17.30%","0.40%","0.70%","16.30%","18.50%","0.00%","1.70%","16.80%","17.00%","0.90%","11.60%","4.50%","26.90%","18.70%","8.10%","0.20%","0.00%","0.90%",NA,NA,NA,NA,NA,NA,NA
"Clayton city, California",NA,"11,655",NA,"11,655","3,038.30","3.84",NA,"$136,946",NA,"$148,832",NA,"0.37",NA,"4,278",NA,"1,289","1,175","0","114","0","0",NA,"$629,200",NA,"$2,490",NA,"29.70%",NA,"22.60%","24.10%","10.10%",NA,"406","16","0","16","0","42","0","0","42","72","0","0","72","14","0","0","14","210","74","91","45","0","52",NA,"38",NA,"3,738",NA,NA,NA
"X67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91.20%","0.00%","8.80%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.90%","0.00%","3.90%","0.00%","10.30%","0.00%","0.00%","10.30%","17.70%","0.00%","0.00%","17.70%","3.50%","0.00%","0.00%","3.50%","51.70%","18.20%","22.40%","11.10%","0.00%","12.80%",NA,NA,NA,NA,NA,NA,NA
"Colma town, California",NA,"1,540",NA,"1,540","806.6","1.91",NA,"$92,589",NA,"$100,521",NA,"0.43",NA,"487",NA,"630","331","197","102","0","0",NA,"$587,700",NA,"$1,469",NA,"25.90%",NA,"20.20%","23.70%","10.00%",NA,"224","26","0","12","14","54","2","3","49","3","0","0","3","29","0","14","15","94","64","22","8","4","14",NA,"27",NA,"263",NA,NA,NA
"X69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52.50%","31.30%","16.20%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.60%","0.00%","5.40%","6.30%","24.10%","0.90%","1.30%","21.90%","1.30%","0.00%","0.00%","1.30%","13.00%","0.00%","6.30%","6.70%","42.00%","28.60%","9.80%","3.60%","1.80%","6.30%",NA,NA,NA,NA,NA,NA,NA
"Concord city, California",NA,"126,938",NA,"126,938","4,155.60","30.55",NA,"$71,477",NA,"$82,407",NA,"0.42",NA,"47,609",NA,"55,252","21,675","5,880","26,704","926","67",NA,"$423,100",NA,"$1,387",NA,"32.80%",NA,"22.20%","25.50%","11.20%",NA,"19,118","3,154","0","116","3,038","2,973","41","154","2,778","2,777","65","485","2,227","4,136","402","2,117","1,617","5,381","3,135","1,835","411","228","469",NA,"33",NA,"26,586",NA,NA,NA
"X71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39.20%","10.60%","48.30%","1.70%","0.10%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.50%","0.00%","0.60%","15.90%","15.60%","0.20%","0.80%","14.50%","14.50%","0.30%","2.50%","11.70%","21.60%","2.10%","11.10%","8.50%","28.20%","16.40%","9.60%","2.20%","1.20%","2.50%",NA,NA,NA,NA,NA,NA,NA
"Corralitos CDP, California",NA,"2,557",NA,"2,557","284.5","8.99",NA,"$115,244",NA,"$116,524",NA,"0.35",NA,"883",NA,"350","298","52","0","0","0",NA,"$758,400",NA,"$1,838",NA,"26.50%",NA,"20.30%","29.50%","10.00%",NA,"141","20","0","0","20","0","0","0","0","21","0","0","21","35","0","18","17","65","65","0","0","0","0",NA,"35",NA,"723",NA,NA,NA
"X73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85.10%","14.90%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.20%","0.00%","0.00%","14.20%","0.00%","0.00%","0.00%","0.00%","14.90%","0.00%","0.00%","14.90%","24.80%","0.00%","12.80%","12.10%","46.10%","46.10%","0.00%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA
"Corte Madera town, California",NA,"9,694",NA,"9,694","3,064.30","3.16",NA,"$125,915",NA,"$150,781",NA,"0.45",NA,"4,081",NA,"2,877","1,217","223","1,437","0","0",NA,"$1,061,700",NA,"$2,025",NA,"30.50%",NA,"20.90%","24.30%","10.00%",NA,"1,185","84","0","0","84","98","0","0","98","176","0","0","176","163","15","54","94","639","195","302","142","0","25",NA,"33",NA,"2,617",NA,NA,NA
"X75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.30%","7.80%","50.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.10%","0.00%","0.00%","7.10%","8.30%","0.00%","0.00%","8.30%","14.90%","0.00%","0.00%","14.90%","13.80%","1.30%","4.60%","7.90%","53.90%","16.50%","25.50%","12.00%","0.00%","2.10%",NA,NA,NA,NA,NA,NA,NA
"Cotati city, California",NA,"7,415",NA,"7,415","3,944.30","1.88",NA,"$64,754",NA,"$83,903",NA,"0.44",NA,"3,038",NA,"3,278","1,781","624","820","53","0",NA,"$429,700",NA,"$1,327",NA,"34.10%",NA,"23.50%","25.60%","12.10%",NA,"1,211","195","0","19","176","277","0","7","270","181","0","0","181","274","27","129","118","275","171","76","28","0","9",NA,"29",NA,"1,682",NA,NA,NA
"X77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54.30%","19.00%","25.00%","1.60%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.10%","0.00%","1.60%","14.50%","22.90%","0.00%","0.60%","22.30%","15.00%","0.00%","0.00%","15.00%","22.60%","2.20%","10.70%","9.70%","22.70%","14.10%","6.30%","2.30%","0.00%","0.70%",NA,NA,NA,NA,NA,NA,NA
"Crockett CDP, California",NA,"3,103",NA,"3,103","2,927.10","1.06",NA,"$78,750",NA,"$91,267",NA,"0.39",NA,"1,572",NA,"1,629","778","701","150","0","0",NA,"$420,200",NA,"$1,148",NA,"22.60%",NA,"17.40%","23.90%","10.00%",NA,"736","91","0","14","77","83","0","0","83","70","0","28","42","135","42","93","0","297","239","58","0","0","60",NA,"35",NA,"700",NA,NA,NA
"X79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.80%","43.00%","9.20%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.40%","0.00%","1.90%","10.50%","11.30%","0.00%","0.00%","11.30%","9.50%","0.00%","3.80%","5.70%","18.30%","5.70%","12.60%","0.00%","40.40%","32.50%","7.90%","0.00%","0.00%","8.20%",NA,NA,NA,NA,NA,NA,NA
"Cupertino city, California",NA,"60,297",NA,"60,297","5,356.80","11.26",NA,"$147,929",NA,"$172,011",NA,"0.41",NA,"21,560",NA,"22,293","8,143","4,533","9,617","0","0",NA,"$1,214,300",NA,"$2,579",NA,"24.00%",NA,"19.70%","24.20%","10.00%",NA,"7,586","509","0","17","492","353","41","30","282","307","15","15","277","688","13","37","638","5,381","2,561","1,936","884","197","151",NA,"27",NA,"12,914",NA,NA,NA
"X81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36.50%","20.30%","43.10%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.70%","0.00%","0.20%","6.50%","4.70%","0.50%","0.40%","3.70%","4.10%","0.20%","0.20%","3.70%","9.10%","0.20%","0.50%","8.40%","70.90%","33.80%","25.50%","11.70%","2.60%","2.00%",NA,NA,NA,NA,NA,NA,NA
"Daly City city, California",NA,"105,543",NA,"105,543","13,771.80","7.66",NA,"$79,346",NA,"$87,322",NA,"0.4",NA,"32,785",NA,"44,204","16,229","8,908","18,847","164","56",NA,"$611,800",NA,"$1,769",NA,"33.90%",NA,"23.00%","28.20%","10.20%",NA,"13,957","1,447","11","65","1,371","1,972","132","37","1,803","1,857","35","60","1,762","2,821","83","866","1,872","5,197","2,190","2,186","821","209","454",NA,"30",NA,"17,638",NA,NA,NA
"X83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36.70%","20.20%","42.60%","0.40%","0.10%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.40%","0.10%","0.50%","9.80%","14.10%","1.00%","0.30%","12.90%","13.30%","0.30%","0.40%","12.60%","20.20%","0.60%","6.20%","13.40%","37.20%","15.70%","15.70%","5.90%","1.50%","3.30%",NA,NA,NA,NA,NA,NA,NA
"Davenport CDP, California",NA,"310",NA,"310","109.4","2.83",NA,"$55,000",NA,"$77,917",NA,"0.49",NA,"138",NA,"97","66","24","7","0","0",NA,"$627,900",NA,"$1,167",NA,"20.00%",NA,"41.70%","44.20%","18.30%",NA,"50","6","0","0","6","9","9","0","0","6","0","0","6","13","7","6","0","16","9","7","0","0","0",NA,"26",NA,"82",NA,NA,NA
"X85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68.00%","24.70%","7.20%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.00%","0.00%","0.00%","12.00%","18.00%","18.00%","0.00%","0.00%","12.00%","0.00%","0.00%","12.00%","26.00%","14.00%","12.00%","0.00%","32.00%","18.00%","14.00%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA
"Day Valley CDP, California",NA,"3,739",NA,"3,739","198.8","18.81",NA,"$80,227",NA,"$96,343",NA,"0.47",NA,"1,386",NA,"695","312","0","383","0","0",NA,"$788,400",NA,"$1,528",NA,"50.00%",NA,"24.80%","26.80%","21.20%",NA,"243","81","0","0","81","17","0","0","17","70","0","0","70","12","0","0","12","51","14","37","0","0","12",NA,"30",NA,"1,027",NA,NA,NA
"X87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44.90%","0.00%","55.10%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.30%","0.00%","0.00%","33.30%","7.00%","0.00%","0.00%","7.00%","28.80%","0.00%","0.00%","28.80%","4.90%","0.00%","0.00%","4.90%","21.00%","5.80%","15.20%","0.00%","0.00%","4.90%",NA,NA,NA,NA,NA,NA,NA
"Diablo CDP, California",NA,"807",NA,"807","594.5","1.36",NA,"$169,211",NA,"$227,755",NA,"0.47",NA,"348",NA,"18","18","0","0","0","0",NA,"$1,486,100",NA,NA,NA,NA,NA,"14.00%","14.70%","13.30%",NA,"18","0","0","0","0","0","0","0","0","0","0","0","0","18","18","0","0","0","0","0","0","0","0",NA,"39",NA,"330",NA,NA,NA
"X89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.00%","0.00%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","100.00%","100.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA
"Dublin city, California",NA,"54,523",NA,"54,523","3,657.30","14.91",NA,"$128,403",NA,"$141,035",NA,"0.39",NA,"18,804",NA,"15,792","5,724","1,065","8,969","34","0",NA,"$693,900",NA,"$2,154",NA,"28.10%",NA,"23.90%","25.50%","10.00%",NA,"6,295","510","0","19","491","532","21","32","479","499","10","21","468","745","0","58","687","3,862","1,604","1,557","701","47","100",NA,"37",NA,"11,904",NA,NA,NA
"X91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36.30%","6.70%","56.80%","0.20%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.10%","0.00%","0.30%","7.80%","8.50%","0.30%","0.50%","7.60%","7.90%","0.20%","0.30%","7.40%","11.80%","0.00%","0.90%","10.90%","61.40%","25.50%","24.70%","11.10%","0.80%","1.60%",NA,NA,NA,NA,NA,NA,NA
"East Foothills CDP, California",NA,"6,347",NA,"6,347","2,780.20","2.28",NA,"$144,479",NA,"$155,682",NA,"0.37",NA,"2,212",NA,"1,033","969","0","64","0","0",NA,"$704,500",NA,"$2,184",NA,"20.80%",NA,"21.90%","25.00%","11.00%",NA,"292","13","0","0","13","0","0","0","0","34","0","0","34","9","0","0","9","171","105","57","9","0","65",NA,"30",NA,"1,861",NA,NA,NA
"X93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93.80%","0.00%","6.20%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.50%","0.00%","0.00%","4.50%","0.00%","0.00%","0.00%","0.00%","11.60%","0.00%","0.00%","11.60%","3.10%","0.00%","0.00%","3.10%","58.60%","36.00%","19.50%","3.10%","0.00%","22.30%",NA,NA,NA,NA,NA,NA,NA
"East Palo Alto city, California",NA,"29,353",NA,"29,353","11,717.00","2.51",NA,"$55,170",NA,"$55,953",NA,"0.44",NA,"7,670",NA,"19,160","9,539","940","8,464","217","0",NA,"$515,900",NA,"$1,510",NA,"36.00%",NA,"25.70%","28.40%","14.90%",NA,"4,884","680","43","73","564","985","10","45","930","852","0","139","713","880","124","194","562","1,357","511","592","254","84","46",NA,"24",NA,"2,465",NA,NA,NA
"X95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49.80%","4.90%","44.20%","1.10%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.90%","0.90%","1.50%","11.60%","20.20%","0.20%","0.90%","19.00%","17.40%","0.00%","2.90%","14.60%","18.00%","2.50%","4.00%","11.50%","27.80%","10.50%","12.10%","5.20%","1.70%","0.90%",NA,NA,NA,NA,NA,NA,NA
"East Richmond Heights CDP, California",NA,"3,364",NA,"3,364","5,798.40","0.58",NA,"$70,299",NA,"$75,911",NA,"0.42",NA,"1,484",NA,"722","502","220","0","0","0",NA,"$407,700",NA,"$1,524",NA,"33.10%",NA,"20.90%","25.80%","10.00%",NA,"320","20","0","0","20","67","0","21","46","28","0","0","28","75","0","24","51","112","54","22","36","18","0",NA,"33",NA,"1,095",NA,NA,NA
"X97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69.50%","30.50%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.30%","0.00%","0.00%","6.30%","20.90%","0.00%","6.60%","14.40%","8.80%","0.00%","0.00%","8.80%","23.40%","0.00%","7.50%","15.90%","35.00%","16.90%","6.90%","11.30%","5.60%","0.00%",NA,NA,NA,NA,NA,NA,NA
"El Cerrito city, California",NA,"24,646",NA,"24,646","6,683.30","3.69",NA,"$92,670",NA,"$107,006",NA,"0.44",NA,"10,554",NA,"9,969","4,370","2,414","3,185","0","0",NA,"$636,600",NA,"$1,567",NA,"27.40%",NA,"21.10%","24.90%","10.00%",NA,"4,002","415","10","22","383","429","13","31","385","544","11","54","479","723","115","296","312","1,683","942","596","145","73","135",NA,"33",NA,"5,961",NA,NA,NA
"X99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43.80%","24.20%","32.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.40%","0.30%","0.60%","9.60%","10.70%","0.30%","0.80%","9.60%","13.60%","0.30%","1.40%","12.00%","18.10%","2.90%","7.40%","7.80%","42.10%","23.50%","14.90%","3.60%","1.80%","3.40%",NA,NA,NA,NA,NA,NA,NA
"El Cerrito CDP, California",NA,"5,699",NA,"5,699","2,232.30","2.55",NA,"$67,857",NA,"$74,276",NA,"0.37",NA,"1,550",NA,"1,402","1,223","164","15","0","0",NA,"$369,500",NA,"$1,432",NA,"35.90%",NA,"26.90%","31.30%","10.00%",NA,"397","5","0","0","5","78","0","0","78","92","0","0","92","79","8","9","62","85","30","48","7","15","43",NA,"41",NA,"1,097",NA,NA,NA
"X101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87.20%","11.70%","1.10%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.30%","0.00%","0.00%","1.30%","19.70%","0.00%","0.00%","19.70%","23.20%","0.00%","0.00%","23.20%","19.90%","2.00%","2.30%","15.60%","21.40%","7.60%","12.10%","1.80%","3.80%","10.80%",NA,NA,NA,NA,NA,NA,NA
"El Granada CDP, California",NA,"6,132",NA,"6,132","1,271.60","4.82",NA,"$125,896",NA,"$151,204",NA,"0.47",NA,"2,232",NA,"1,116","291","506","319","0","0",NA,"$857,900",NA,"$1,887",NA,"40.60%",NA,"22.50%","27.00%","10.00%",NA,"418","0","0","0","0","0","0","0","0","172","0","0","172","78","0","39","39","168","24","114","30","0","0",NA,"32",NA,"1,750",NA,NA,NA
"X103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26.10%","45.30%","28.60%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","41.20%","0.00%","0.00%","41.20%","18.70%","0.00%","9.30%","9.30%","40.20%","5.70%","27.30%","7.20%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA
"El Sobrante CDP (Contra Costa County), California",NA,"12,963",NA,"12,963","4,687.70","2.77",NA,"$67,175",NA,"$74,767",NA,"0.44",NA,"5,192",NA,"5,191","2,897","870","1,414","0","10",NA,"$350,400",NA,"$1,352",NA,"29.50%",NA,"24.10%","28.20%","12.10%",NA,"2,007","310","0","38","272","370","74","0","296","199","0","63","136","334","7","181","146","666","317","294","55","59","69",NA,"35",NA,"2,814",NA,NA,NA
"X105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55.80%","16.80%","27.20%","0.00%","0.20%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.50%","0.00%","1.90%","13.60%","18.40%","3.70%","0.00%","14.80%","9.90%","0.00%","3.10%","6.80%","16.60%","0.40%","9.00%","7.30%","33.20%","15.80%","14.70%","2.70%","2.90%","3.40%",NA,NA,NA,NA,NA,NA,NA
"Emerald Lake Hills CDP, California",NA,"4,716",NA,"4,716","3,943.40","1.2",NA,"$171,522",NA,"$207,895",NA,"0.45",NA,"1,714",NA,"527","479","48","0","0","0",NA,"$1,376,700",NA,"$2,333",NA,"14.90%",NA,"21.40%","23.20%","13.50%",NA,"162","0","0","0","0","0","0","0","0","24","0","0","24","17","9","0","8","107","99","8","0","0","14",NA,"31",NA,"1,462",NA,NA,NA
"X107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90.90%","9.10%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","14.80%","0.00%","0.00%","14.80%","10.50%","5.60%","0.00%","4.90%","66.10%","61.10%","4.90%","0.00%","0.00%","8.60%",NA,NA,NA,NA,NA,NA,NA
"Emeryville city, California",NA,"11,111",NA,"11,111","8,919.30","1.25",NA,"$74,295",NA,"$92,031",NA,"0.45",NA,"6,782",NA,"7,381","522","1,243","5,616","0","0",NA,"$396,900",NA,"$1,749",NA,"27.90%",NA,"24.30%","27.90%","11.70%",NA,"3,973","502","20","22","460","420","43","0","377","256","24","42","190","832","108","237","487","1,779","1,007","526","246","103","81",NA,"30",NA,"2,290",NA,NA,NA
"X109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.10%","16.80%","76.10%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.60%","0.50%","0.60%","11.60%","10.60%","1.10%","0.00%","9.50%","6.40%","0.60%","1.10%","4.80%","20.90%","2.70%","6.00%","12.30%","44.80%","25.40%","13.20%","6.20%","2.60%","2.00%",NA,NA,NA,NA,NA,NA,NA
"Fairfax town, California",NA,"7,598",NA,"7,598","3,448.10","2.2",NA,"$99,438",NA,"$125,268",NA,"0.46",NA,"3,564",NA,"2,211","1,283","266","620","42","0",NA,"$733,800",NA,"$1,690",NA,"31.90%",NA,"23.30%","23.80%","16.80%",NA,"1,080","192","9","26","157","168","45","10","113","82","7","0","75","168","11","16","141","419","230","137","52","9","42",NA,"32",NA,"2,214",NA,NA,NA
"X111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58.00%","12.00%","28.00%","1.90%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.80%","0.80%","2.40%","14.50%","15.60%","4.20%","0.90%","10.50%","7.60%","0.70%","0.00%","6.90%","15.60%","1.00%","1.50%","13.10%","38.80%","21.30%","12.70%","4.80%","0.80%","3.90%",NA,NA,NA,NA,NA,NA,NA
