"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62"
"future_column","SE:T1. Total Population","Total Population","SE:T2. Population Density (per Sq. Mile)","Total Population","Population Density (Per Sq. Mile)","Area (Land)","SE:T57. Median Household Income (In 2016 Inflation Adjusted Dollars)","Median Household Income (In 2016 Inflation Adjusted Dollars)","SE:T61. Median Family Income (In 2016 Inflation Adjusted Dollars)","Median Family Income (In 2016 Inflation Adjusted Dollars)","SE:T157. Gini Index of Income Inequality","Gini Index","SE:T93. Housing Units","Housing Units","SE:T238. Total Population in Renter Occupied Housing Units by Units in Structure","Total Population in Renter Occupied Housing Units:","1, Detached or Attached","2 To 4","5 or More","Mobile Home","Boat, Rv, Van, Etc.","SE:T101. Median House Value for All Owner-Occupied Housing Units","Median Value","SE:T104. Median Gross Rent","Median Gross Rent","SE:T105. Median Gross Rent as a Percentage of Household Income in The Past 12 Months (Dollars)","Median Gross Rent as a Percentage of Household  Income in The Past 12 Months (Dollars)","SE:T112. Median Selected Monthly Owner Costs as a Percentage of Household Income in the Past 12 Months (Dollars) and Mortgage Status","Median Selected Monthly Owner Costs as a Percentage of Household Income:","Housing Units with a Mortgage","Housing Units Without a Mortgage","SE:T225. Monthly Housing Costs as a Percentage of Household Income in the Past 12 Months (Renter-Occupied Housing Units)","Renter-Occupied Housing Units:","Less Than $20,000:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$20,000 To $34,999:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$35,000 To $49,999:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$50,000 To $74,999:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$75,000 or More:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","Zero or Negative Income","No Cash Rent","SE:T147. Average Commute to Work (in Min)","Average Commute to Work (in Min)","SE:T142. Owner-Occupied Housing Units","Owner-Occupied Housing Units","Note:","For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'","© Social Explorer 2005-2018"
"X329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57.20%","7.50%","34.80%","0.40%","0.10%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.60%","0.30%","2.00%","10.40%","10.00%","0.20%","1.10%","8.80%","10.30%","0.10%","0.40%","9.80%","20.10%","0.10%","4.80%","15.20%","41.50%","20.60%","16.40%","4.40%","1.70%","3.80%",NA,NA,NA,NA,NA,NA,NA
"Vallejo city, California",NA,"119,644",NA,"119,644","3,900.80","30.67",NA,"$59,600",NA,"$65,494",NA,"0.43",NA,"45,612",NA,"54,043","31,437","9,292","12,792","522","0",NA,"$254,100",NA,"$1,250",NA,"36.20%",NA,"22.60%","25.70%","10.30%",NA,"18,799","4,724","7","125","4,592","3,321","83","224","3,014","2,668","112","617","1,939","3,079","563","1,169","1,347","4,433","2,789","1,436","208","210","364",NA,"34",NA,"22,808",NA,NA,NA
"X331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58.20%","17.20%","23.70%","1.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.10%","0.00%","0.70%","24.40%","17.70%","0.40%","1.20%","16.00%","14.20%","0.60%","3.30%","10.30%","16.40%","3.00%","6.20%","7.20%","23.60%","14.80%","7.60%","1.10%","1.10%","1.90%",NA,NA,NA,NA,NA,NA,NA
"Vine Hill CDP, California",NA,"4,264",NA,"4,264","2,835.70","1.5",NA,"$71,786",NA,"$75,882",NA,"0.36",NA,"1,433",NA,"1,594","1,001","0","593","0","0",NA,"$314,000",NA,"$1,402",NA,"23.40%",NA,"30.00%","31.50%","19.00%",NA,"441","60","0","23","37","44","0","0","44","9","0","0","9","105","10","95","0","197","102","74","21","0","26",NA,"31",NA,"903",NA,NA,NA
"X333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62.80%","0.00%","37.20%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.60%","0.00%","5.20%","8.40%","10.00%","0.00%","0.00%","10.00%","2.00%","0.00%","0.00%","2.00%","23.80%","2.30%","21.50%","0.00%","44.70%","23.10%","16.80%","4.80%","0.00%","5.90%",NA,NA,NA,NA,NA,NA,NA
"Walnut Creek city, California",NA,"67,568",NA,"67,568","3,420.00","19.76",NA,"$82,848",NA,"$116,705",NA,"0.47",NA,"32,386",NA,"23,508","7,019","4,094","12,281","45","69",NA,"$647,400",NA,"$1,721",NA,"29.00%",NA,"22.30%","25.60%","15.60%",NA,"11,198","1,381","0","49","1,332","1,559","74","59","1,426","1,010","17","101","892","2,086","122","831","1,133","4,799","2,581","1,864","354","146","217",NA,"33",NA,"19,624",NA,NA,NA
"X335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29.90%","17.40%","52.20%","0.20%","0.30%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.30%","0.00%","0.40%","11.90%","13.90%","0.70%","0.50%","12.70%","9.00%","0.20%","0.90%","8.00%","18.60%","1.10%","7.40%","10.10%","42.90%","23.10%","16.70%","3.20%","1.30%","1.90%",NA,NA,NA,NA,NA,NA,NA
"Watsonville city, California",NA,"52,915",NA,"52,915","7,913.20","6.69",NA,"$49,487",NA,"$49,980",NA,"0.41",NA,"14,500",NA,"33,377","16,693","6,014","9,418","1,104","148",NA,"$361,000",NA,"$1,285",NA,"36.60%",NA,"23.00%","27.80%","11.10%",NA,"8,491","1,757","34","220","1,503","1,853","115","165","1,573","1,846","35","198","1,613","1,590","271","605","714","1,255","558","503","194","18","172",NA,"23",NA,"5,562",NA,NA,NA
"X337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50.00%","18.00%","28.20%","3.30%","0.40%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.70%","0.40%","2.60%","17.70%","21.80%","1.40%","1.90%","18.50%","21.70%","0.40%","2.30%","19.00%","18.70%","3.20%","7.10%","8.40%","14.80%","6.60%","5.90%","2.30%","0.20%","2.00%",NA,NA,NA,NA,NA,NA,NA
"West Menlo Park CDP, California",NA,"3,830",NA,"3,830","7,878.70","0.49",NA,"$180,192",NA,"$227,045",NA,"0.43",NA,"1,328",NA,"669","562","0","107","0","0",NA,"$1,664,200",NA,"$2,342",NA,"19.60%",NA,"19.40%","21.70%","10.00%",NA,"196","20","0","0","20","0","0","0","0","9","0","0","9","0","0","0","0","138","87","32","19","7","22",NA,"27",NA,"1,042",NA,NA,NA
"X339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84.00%","0.00%","16.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.20%","0.00%","0.00%","10.20%","0.00%","0.00%","0.00%","0.00%","4.60%","0.00%","0.00%","4.60%","0.00%","0.00%","0.00%","0.00%","70.40%","44.40%","16.30%","9.70%","3.60%","11.20%",NA,NA,NA,NA,NA,NA,NA
"Windsor town, California",NA,"27,318",NA,"27,318","3,758.60","7.27",NA,"$86,192",NA,"$96,523",NA,"0.38",NA,"9,630",NA,"7,038","5,102","483","1,026","427","0",NA,"$445,700",NA,"$1,770",NA,"29.70%",NA,"23.20%","26.00%","12.50%",NA,"2,313","283","7","92","184","335","36","52","247","270","14","33","223","382","21","150","211","917","301","411","205","0","126",NA,"25",NA,"6,966",NA,NA,NA
"X341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72.50%","6.90%","14.60%","6.10%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.20%","0.30%","4.00%","8.00%","14.50%","1.60%","2.30%","10.70%","11.70%","0.60%","1.40%","9.60%","16.50%","0.90%","6.50%","9.10%","39.70%","13.00%","17.80%","8.90%","0.00%","5.50%",NA,NA,NA,NA,NA,NA,NA
"Woodside town, California",NA,"5,496",NA,"5,496","468.5","11.73",NA,"$223,934",NA,"$250,001",NA,"0.56",NA,"2,179",NA,"621","564","0","0","57","0",NA,"$2,000,001",NA,"$1,811",NA,"15.40%",NA,"16.30%","24.20%","10.00%",NA,"209","22","0","0","22","0","0","0","0","0","0","0","0","30","5","21","4","105","100","5","0","5","47",NA,"27",NA,"1,708",NA,NA,NA
"X343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90.80%","0.00%","0.00%","9.20%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.50%","0.00%","0.00%","10.50%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","14.40%","2.40%","10.10%","1.90%","50.20%","47.90%","2.40%","0.00%","2.40%","22.50%",NA,NA,NA,NA,NA,NA,NA
"Zayante CDP, California",NA,"941",NA,"941","345.3","2.73",NA,"$94,432",NA,"$100,119",NA,"0.34",NA,"366",NA,"102","102","0","0","0","0",NA,"$377,700",NA,"$1,545",NA,"50.00%",NA,"24.30%","24.30%","25.30%",NA,"40","16","0","0","16","15","0","0","15","0","0","0","0","9","9","0","0","0","0","0","0","0","0",NA,"40",NA,"293",NA,NA,NA
"X345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100.00%","0.00%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40.00%","0.00%","0.00%","40.00%","37.50%","0.00%","0.00%","37.50%","0.00%","0.00%","0.00%","0.00%","22.50%","22.50%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA
"TOTAL (All Selected Places)",NA,"7,023,434",NA,"7,023,434","* 4,292.4","* 1,636.26",NA,"$85,206",NA,"$101,575",NA,NA,NA,"2,634,143",NA,"3,023,968","1,187,536","542,671","1,263,898","27,757","2,106",NA,"$619,324",NA,"$1,605",NA,"30.00%",NA,NA,"25.50%","10.40%",NA,"1,145,449","186,321","3,563","17,788","164,970","146,099","5,707","10,052","130,340","129,416","6,659","21,768","100,989","179,638","19,389","64,103","96,146","457,311","238,234","162,598","56,479","17,202","29,462",NA,"* 30",NA,"1,353,210",NA,NA,NA
"X347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39.30%","18.00%","41.80%","0.90%","0.10%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.30%","0.30%","1.60%","14.40%","12.80%","0.50%","0.90%","11.40%","11.30%","0.60%","1.90%","8.80%","15.70%","1.70%","5.60%","8.40%","39.90%","20.80%","14.20%","4.90%","1.50%","2.60%",NA,NA,NA,NA,NA,NA,NA
